コード,銘柄名,主市場,貸借区分,1日,14日,無期限,売建可能数量,特別空売り料,T,現在値,前日比,当日株価変動率,日中出来高増減率,ティック数,出来高,直近高値騰落率,逆日歩,直近優待月
6501,日立,東証,貸借,○,×,○,"55,500",-,▲,"6,906.00",-101,-0.25%,-,"10,741","3,796,700",-3.04%,-,
3064,ＭｏｎｏｔａＲＯ,東証,貸借,○,×,×,"48,300",-,▼,"2,014.00",11,1.56%,-,"10,065","4,830,100",-2.89%,-,3月29日
7733,オリンパス,東証,貸借,○,×,○,"22,800",-,▼,"2,471.00",-11,-1.16%,-,"9,760","5,581,200",-1.29%,-,
6752,パナソニックホールディンク,東証,貸借,○,×,○,"75,400",-,▲,"1,153.00",-37,-1.03%,-,"9,387","12,759,700",-4.59%,-,
6098,リクルートホールディングス,東証,貸借,○,×,○,"97,700",-,▲,"4,436.00",113,0.81%,-,"9,326","6,361,200",-0.82%,-,
8001,伊藤忠,東証,貸借,○,×,○,"152,700",-,▼,"4,014.00",-66,-1.25%,-,"8,575","4,965,800",-4.90%,-,
4502,武田薬品,東証,貸借,○,×,○,"206,000",-,▼,"4,171.00",117,1.33%,-,"8,449","8,449,900",-0.42%,-,
1570,ＮＦ日経レバ,東証,貸借,○,×,×,"51,818",-,▲,"14,150.00",120,0.28%,-,"8,330","5,181,763",-0.70%,-,
9433,ＫＤＤＩ,東証,貸借,○,×,×,"26,600",-,▼,"3,912.00",-106,-1.90%,-,"8,324","7,488,600",-3.74%,-,3月29日
8750,第一生命ＨＬＤＧＳ,東証,貸借,○,×,○,"6,700",-,▲,"2,985.50",-2,1.44%,-,"8,166","3,867,200",-4.34%,-,
3563,ＦＯＯＤ＆ＬＩＦＥＣＯＭＰＡＮ,東証,貸借,○,×,×,"36,900",-,▲,"2,935.00",53,0.89%,-,"8,146","3,685,600",-1.24%,0.05,3月29日
7203,トヨタ自動車,東証,貸借,○,×,○,"403,700",-,▼,"1,891.50",11,0.23%,-,"7,370","16,015,500",-1.43%,-,
6472,ＮＴＮ,東証,貸借,○,×,○,"23,000",-,▲,295,33,4.98%,-,"7,311","33,604,700",-2.96%,-,
7201,日産自動車,東証,貸借,○,×,×,0,-,▲,462.6,3.7,0.60%,-,"7,173","15,471,700",-1.51%,-,3月29日
9468,ＫＡＤＯＫＡＷＡ,東証,貸借,○,×,×,0,-,▲,"2,475.00",98,0.20%,-,"6,838","2,212,700",-4.47%,-,3月29日
6632,ＪＶＣケンウッド,東証,貸借,○,×,○,"121,300",-,▼,421,33,7.94%,-,"6,805","22,832,000",-1.63%,-,
8053,住友商事,東証,貸借,○,×,○,"294,600",-,▼,"2,268.00",9.5,0.93%,-,"6,572","4,552,900",-3.71%,-,
5020,ＥＮＥＯＳホールディングス,東証,貸借,○,×,○,"443,600",-,▼,452.6,-5.9,-0.30%,-,"6,440","13,815,000",-3.70%,-,
5727,東邦チタニウム,東証,貸借,○,×,○,"14,000",-,▼,"2,319.00",4,0.30%,-,"6,340","2,678,800",-4.64%,-,
7011,三菱重工業,東証,貸借,○,×,○,"60,400",-,▲,"4,935.00",-93,0.26%,-,"6,326","2,439,600",-3.42%,-,
4188,三菱ケミカルグループ,東証,貸借,○,×,○,"188,800",-,▲,692.6,-9.3,-0.77%,-,"6,323","6,461,600",-5.51%,-,
2413,エムスリー,東証,貸借,○,×,○,"43,600",-,▼,"3,720.00",72,-0.80%,-,"6,314","2,601,000",-0.93%,-,
